,가게명,메뉴명,가격
814,정릉동 노랑통닭 정릉점,제로 콜라 500ml (펩시) 추가,"2,000원"
815,정릉동 노랑통닭 정릉점,제로 콜라 1.25L (펩시) 추가,"3,000원"
816,정릉동 논두렁,제육볶음,"18,000원"
817,정릉동 논두렁,두부김치,"18,000원"
818,정릉동 논두렁,닭볶음탕,"33,000원"
819,정릉동 논두렁,계란찜,"10,000원"
820,정릉동 논두렁,생삼겹살,"18,000원"
821,정릉동 논두렁,닭한마리,"33,000원"
822,정릉동 논두렁,통돼지김치찜,"38,000원"
823,정릉동 논두렁,김치닭볶음탕,"38,000원"
824,정릉동 논두렁,순두부찌개,"9,000원"
825,정릉동 논두렁,돌솥비빔밥,"9,000원"
826,정릉동 논두렁,제육덮밥,"9,000원"
827,정릉동 놀라운 떡볶이,제육덮밥,"7,000원"
828,정릉동 놀라운 떡볶이,부대찌개,"7,000원"
829,정릉동 놀라운 떡볶이,연어덮밥,"8,000원"
830,정릉동 놀라운 떡볶이,국물떡볶이,"5,000원"
831,정릉동 놀라운 떡볶이,로제떡볶이,"6,000원"
832,정릉동 놀라운 떡볶이,김 밥,"3,000원"
833,정릉동 놀라운 떡볶이,참치김밥,"4,000원"
834,정릉동 놀라운 떡볶이,치즈김밥,"4,000원"
835,정릉동 놀라운 떡볶이,연어한접시,"12,000원"
836,정릉동 놀라운 떡볶이,새우볶음밥,"6,000원"
837,정릉동 놀라운 떡볶이,김치참치볶음밥,"6,000원"
838,정릉동 놀라운 떡볶이,라면,"3,000원"
839,정릉동 놀라운 떡볶이,치즈라면,"4,000원"
840,정릉동 놀라운 떡볶이,비빔냉면,"7,000원"
841,정릉동 놀라운 떡볶이,물냉면,"7,000원"
842,정릉동 늘솜족발,늘솜씨가 좋은 국내산 앞발+김치전,"37,000원"
843,정릉동 늘솜족발,늘솜씨가 좋은 국내산 뒷발+김치전,"33,000원"
844,정릉동 늘솜족발,[SET] 족발+쟁반막국수+김치전(족발(명품 뒷발)+쟁반막국수),"44,000원"
845,정릉동 늘솜족발,[SET] 족발+쟁반막국수+김치전(족발(명품 앞발)+쟁반막국수),"48,000원"
846,정릉동 늘솜족발,[SET] 족발(반)+매운불족발(반)+쟁반막국수,"45,000원"
847,정릉동 늘솜족발,늘솜씨가 좋은 국내산 앞발+김치전,"37,000원"
848,정릉동 늘솜족발,늘솜씨가 좋은 국내산 뒷발+김치전,"33,000원"
849,정릉동 늘솜족발,늘솜씨가 좋은 보쌈(소),"30,000원"
850,정릉동 늘솜족발,늘솜씨가 좋은 보쌈(중),"34,000원"
851,정릉동 늘솜족발,늘솜씨가 좋은 보쌈(대),"38,000원"
852,정릉동 늘솜족발,보쌈+막국수,"44,000원"
853,정릉동 늘솜족발,보쌈+불반족,"49,000원"
854,정릉동 늘솜족발,족발(앞발)+보쌈,"61,000원"
855,정릉동 늘솜족발,족발(뒷발)+보쌈,"57,000원"
856,정릉동 늘솜족발,족발반 +불족발반+보쌈,"59,000원"
857,정릉동 늘솜족발,쟁반막국수,"12,000원"
858,정릉동 늘솜족발,부추전,"8,000원"
859,정릉동 늘솜족발,김치전,"8,000원"
860,정릉동 늘솜족발,어리굴젓,"8,000원"
861,정릉동 늘솜족발,계란찜,"4,500원"
862,정릉동 늘솜족발,코카콜라(500ml),"2,000원"
863,정릉동 늘솜족발,칠성사이다(500ml),"2,000원"
864,정릉동 다안국수,콩국수,"9,000원"
865,정릉동 다안국수,비빔국수,"6,500원"
866,정릉동 다안국수,멸치국수,"6,000원"
867,정릉동 다안국수,떡만두국,"8,000원"
868,정릉동 다안국수,바지락칼국수,"8,000원"
869,정릉동 다옴 정릉점,메뉴 정보 없음,
870,"정릉동 다옴순대국,감자탕정릉점",메뉴 정보 없음,
871,정릉동 다우가,메뉴 정보 없음,
872,정릉동 다이츠키,오뎅 10종(2인),"16,900원"
873,정릉동 다이츠키,오뎅 15종(3~4인),"25,900원"
874,정릉동 다이츠키,한우육회,"15,900원"
875,정릉동 다이츠키,치킨난반,"15,900원"
876,정릉동 다이츠키,새우링타워,"14,900원"
877,정릉동 다이츠키,닭껍질말이5p,"7,900원"
878,정릉동 다이츠키,닭껍질말이10p,"14,900원"
879,정릉동 다이츠키,떠볶이,"8,900원"
880,정릉동 다이츠키,오징어표고4p,"8,900원"
881,정릉동 다이츠키,아게다시도후4p,"7,900원"
882,정릉동 다이츠키,타코야끼,"8,900원"
883,정릉동 다이츠키,네기타코,"8,900원"
884,정릉동 다이츠키,날치알김,"6,900원"
885,정릉동 다이츠키,꿀모찌2p,"4,900원"
886,정릉동 다이츠키,요구르트샤베트,"8,900원"
887,정릉동 달고나꼬마김밥,작은팩(3줄),"4,500원"
888,정릉동 달고나꼬마김밥,중간팩(5줄),"6,500원"
889,정릉동 달고나꼬마김밥,큰팩(11줄),"12,000원"
890,정릉동 달고나꼬마김밥,매운진미채(5줄),"7,500원"
891,정릉동 달고나꼬마김밥,매운진미채(10줄),"14,000원"
892,정릉동 달고나꼬마김밥,큰팩(11줄),"12,000원"
893,정릉동 달고나꼬마김밥,중간팩(5줄),"6,500원"
894,정릉동 달고나꼬마김밥,작은팩(3줄),"4,500원"
895,정릉동 달고나꼬마김밥,매운진미채(10줄),"14,000원"
896,정릉동 달고나꼬마김밥,매운진미채(5줄),"7,500원"
897,정릉동 달고나꼬마김밥,사이다(355ml),"2,000원"
898,정릉동 달고나꼬마김밥,콜라(355ml),"2,000원"
899,정릉동 달고나꼬마김밥,뽀로로음료(235ml),"2,000원"
900,정릉동 달고나꼬마김밥,펩시제로 라임(355ml),"2,000원"
901,정릉동 달고나꼬마김밥,"육계장사발면(농심,컵 86g)(농심 컵(86g))","2,000원"
902,정릉동 달고나꼬마김밥,"진라면(65g, 소컵라면)","2,000원"
903,정릉동 달고나꼬마김밥,"신라면(소,65g)(농심 컵(65g))","2,000원"
904,정릉동 달고나꼬마김밥,"김치사발면(농심,컵 86g)(농심 컵(86g))","2,000원"
905,정릉동 달고나꼬마김밥,"튀김우동(농심,컵 62g)(농심 컵(65g))","2,000원"
906,정릉동 대단한돈까스 서울정릉점,대단한돈까스,"9,900원"
907,정릉동 대단한돈까스 서울정릉점,대단한스테이크,"15,900원"
908,정릉동 대단한돈까스 서울정릉점,함박스테이크,"12,900원"
909,정릉동 대단한돈까스 서울정릉점,생선까스,"10,900원"
910,정릉동 대단한돈까스 서울정릉점,비후까스,"12,900원"
911,정릉동 대단한돈까스 서울정릉점,대왕돈까스,"11,900원"
912,정릉동 대단한돈까스 서울정릉점,치즈까스,"11,900원"
913,정릉동 대단한돈까스 서울정릉점,안심까스,"11,900원"
914,정릉동 대단한돈까스 서울정릉점,스테이크볶음밥,"10,900원"
915,정릉동 대단한돈까스 서울정릉점,온우동,"7,900원"
916,정릉동 대단한돈까스 서울정릉점,냉우동,"7,900원"
917,정릉동 대단한돈까스 서울정릉점,비빔우동,"7,900원"
918,정릉동 대단한돈까스 서울정릉점,냉우동세트,"11,900원"
919,정릉동 대단한돈까스 서울정릉점,비빔우동세트,"11,900원"
920,정릉동 대단한돈까스 서울정릉점,치킨가라야게,"4,000원"
921,정릉동 대성각,등심탕수육+짜장2+만두,"18,000원"
922,정릉동 대성각,잡채+볶음밥2+만두,"20,000원"
923,정릉동 대성각,등심탕수육+짜장+짬뽕+물만두,"19,000원"
924,정릉동 대성각,양장피+등심탕수육+만두,"30,000원"
925,정릉동 대성각,고추잡채+짜장+짬뽕2+물만두,"33,000원"
926,정릉동 대성각,양장피+등심탕수육+잡채+물만두,"40,000원"
927,정릉동 대성각,등심탕수육+삼선쟁반짜장2+만두,"22,000원"
928,정릉동 대성각,양장피+팔보채+등심탕수육,"60,000원"
929,정릉동 대성각,양장피+유산슬+깐풍기+등심탕수육,"80,000원"
930,정릉동 대성각,해삼탕+양장피+깐풍기+깐쇼새우+등심탕수육,"120,000원"
931,정릉동 대성각,해삼탕+양장피+깐쇼새우+고추잡채+라조기+팔보채+사천탕수육,"180,000원"
932,정릉동 대성각,볶음쟁반짬뽕 中,"15,000원"
933,정릉동 대성각,양장피 中,"30,000원"
934,정릉동 대성각,삼선쟁반짜장 中,"13,000원"
935,정릉동 대성각,짜장면 / 군만두 / 물만두,"5,000원"
936,정릉동 대왕유통직영셀프민물장어,1kg 포장,"55,000원"
937,정릉동 대왕유통직영셀프민물장어,생물민물장어 1kg,
938,정릉동 대왕유통직영셀프민물장어,소금구이1kg,"60,000원"
939,정릉동 대왕유통직영셀프민물장어,양념구이 1kg,"60,000원"
940,정릉동 대왕유통직영셀프민물장어,1kg 포장,"55,000원"
941,정릉동 대왕유통직영셀프민물장어,생물민물장어 1kg,
942,정릉동 대왕유통직영셀프민물장어,소금구이1kg,"60,000원"
943,정릉동 대왕유통직영셀프민물장어,양념구이 1kg,"60,000원"
944,정릉동 대중식당,메뉴 정보 없음,
945,정릉동 대한냉면,[이냉치냉]물냉면,"9,900원"
946,정릉동 대한냉면,비빔냉면,"9,900원"
947,정릉동 대한냉면,돈까스+물냉면,"15,000원"
948,정릉동 대한냉면,왕만두(5p),"7,500원"
949,정릉동 대한냉면,로스까스(등심)도시락,"12,500원"
950,정릉동 대한냉면,500원의 행복,500원
951,정릉동 대한냉면,냉면+돈까스+만두[할인SET],"17,900원"
952,정릉동 대한냉면,[이냉치냉]물냉면,"9,900원"
953,정릉동 대한냉면,[해장강추]매운 물냉면,"10,500원"
954,정릉동 대한냉면,비빔냉면,"9,900원"
955,정릉동 대한냉면,매운 비빔냉면,"10,500원"
956,정릉동 대한냉면,로스까스(등심)도시락,"12,500원"
957,정릉동 대한냉면,히레까스(안심)도시락,"12,900원"
958,정릉동 대한냉면,생선까스 도시락,"12,000원"
959,정릉동 대한냉면,치즈까츠 도시락,"13,500원"
960,정릉동 대한냉면,새우까스 도시락,"10,000원"
961,정릉동 대한냉면,냉면사리,"3,000원"
962,정릉동 대한냉면,냉면육수 추가,"1,500원"
963,정릉동 대한냉면,콜라 500ml,"2,000원"
964,정릉동 대한냉면,공기밥,"1,500원"
965,정릉동 대한냉면,사이다 500ml,"2,000원"
966,정릉동 더로스팅,아메리카노(9가지중 선택),"3,800원"
967,정릉동 더로스팅,팀버라떼,"4,800원"
968,정릉동 더로스팅,블루레몬에이드,"4,800원"
969,정릉동 더로스팅,핸드드립,"4,800원"
970,정릉동 더로스팅,말렌카케이크(월넛.코코아.레몬.시나몬,"5,000원"
971,정릉동 더로스팅,프라하 당근 케이크,"5,000원"
972,정릉동 더로스팅,프라하 치즈케이크,"5,000원"
973,정릉동 더로스팅,모닝세트,"7,500원"
974,정릉동 더박스(THE BOX),메뉴 정보 없음,
975,정릉동 더원치킨,찜닭한마리,"20,000원"
976,정릉동 더원치킨,옛날 후라이드 치킨,"15,000원"
977,정릉동 더원치킨,양념 치킨,"17,000원"
978,정릉동 덤브다이버(DUMB DIVER),아메리카노,"4,000원"
979,정릉동 덤브다이버(DUMB DIVER),카페라떼,"4,500원"
980,정릉동 덤브다이버(DUMB DIVER),바닐라라떼,"5,000원"
981,정릉동 덤브다이버(DUMB DIVER),덤브라떼,"5,000원"
982,정릉동 덤브다이버(DUMB DIVER),덤브크림,"6,000원"
983,정릉동 덤브다이버(DUMB DIVER),아포가토,"5,500원"
984,정릉동 덤브다이버(DUMB DIVER),딸기우유,"5,000원"
985,정릉동 덤브다이버(DUMB DIVER),말차우유,"5,000원"
986,정릉동 덤브다이버(DUMB DIVER),초코우유,"5,000원"
987,정릉동 덤브다이버(DUMB DIVER),수박주스 땡모반,"6,000원"
988,정릉동 덤브다이버(DUMB DIVER),블루베리스무디,"6,000원"
989,정릉동 덤브다이버(DUMB DIVER),망고스무디,"6,000원"
990,정릉동 덤브다이버(DUMB DIVER),밀크쉐이크,"6,000원"
991,정릉동 덤브다이버(DUMB DIVER),메도우 케모마일,"5,000원"
992,정릉동 덤브다이버(DUMB DIVER),히비스커스 체리 에이드,"5,500원"
993,정릉동 데블스피자,데블스 피자(R),"16,000원"
994,정릉동 데블스피자,데블스 피자(L),"19,000원"
995,정릉동 데블스피자,포테이토(R),"17,000원"
996,정릉동 데블스피자,포테이토(L),"20,000원"
997,정릉동 데블스피자,맥엔치즈 베이컨(R),"15,000원"
998,정릉동 데블스피자,맥엔치즈 베이컨(L),"18,000원"
999,정릉동 도깨비,[도깨비 대표] 한우사골육수마라탕(기본),"13,000원"
1000,정릉동 도깨비,[도깨비 대표] 한우사골육수마라탕(2~3인분),"21,000원"
1001,정릉동 도깨비,[도깨비대표]마라샹궈(기본),"18,000원"
1002,정릉동 도깨비,[도깨비대표]마라샹궈(2~3인분),"28,000원"
1003,정릉동 도깨비,마라룽샤800g (연근 청경채),"36,000원"
1004,정릉동 도깨비,[도깨비 대표] 한우사골육수마라탕(기본),"13,000원"
1005,정릉동 도깨비,[도깨비 대표] 한우사골육수마라탕(2~3인분),"21,000원"
1006,정릉동 도깨비,[도깨비대표]마라샹궈(기본),"18,000원"
1007,정릉동 도깨비,[도깨비대표]마라샹궈(2~3인분),"28,000원"
1008,정릉동 도깨비,[한우육수사골] 셀프 마라%탕%기본숙주포함(500g),"9,900원"
1009,정릉동 도깨비,마라룽샤800g (연근 청경채),"36,000원"
1010,정릉동 도깨비,마라룽쌰 (꼬리) 500g(룽샤꼬리(연근 청경채)),"33,000원"
1011,정릉동 도깨비,마라룽쌰 (꼬리) 500g(룽샤꼬리(연근 청경채 넓적당면)),"34,000원"
1012,정릉동 도깨비,탕수가지,"14,000원"
1013,정릉동 도깨비,꿔보뤄우(소자단품주문불가),"13,000원"
1014,정릉동 도깨비,계란볶음밥,"8,000원"
1015,정릉동 도깨비,가지볶음밥,"9,000원"
1016,정릉동 도깨비,공기밥,"1,000원"
1017,정릉동 도깨비,[단골PICK] A. 마라탕(500g)+꿔바로우 (小),"24,000원"
1018,정릉동 도깨비,C. 마라탕(500g)+닭가슴살 튀김(100g),"12,000원"
1019,정릉동 도깨비,B. 마라샹궈(600g)+꿔바로우(小),"28,000원"
1020,정릉동 도깨비,우유툐우(2개),"4,000원"
1021,정릉동 도깨비,꽃빵튀김(4개),"5,000원"
1022,정릉동 도깨비,미니전(2장),"5,000원"
1023,정릉동 도깨비,땅콩소스,500원
1024,정릉동 도깨비,사이다,"2,000원"
1025,정릉동 도깨비,코카콜라,"2,000원"
1026,정릉동 도깨비,환타 (파인애플맛),"2,000원"
1027,정릉동 도깨비,차파이 (복숭아맛)(500ml),"3,000원"
1028,정릉동 도깨비,빙훙차,"3,000원"
1029,정릉동 도깨비,소고기 (100g),"4,000원"
1030,정릉동 도깨비,양고기 (100g),"4,000원"
1031,정릉동 도깨비,숙주,"2,000원"
1032,정릉동 도깨비,콩나물,"2,000원"
1033,정릉동 도깨비,청경채,"2,000원"
1034,정릉동 도꼬돈카츠,베이직돈카츠,"11,000원"
1035,정릉동 도꼬돈카츠,감자치즈돈카츠,"12,000원"
1036,정릉동 도꼬돈카츠,마늘돈카츠,"11,000원"
1037,정릉동 도꼬돈카츠,고구마돈카츠,"11,000원"
1038,정릉동 도꼬돈카츠,카츠동,"8,000원"
1039,정릉동 도꼬돈카츠,가라아게동,"8,000원"
1040,정릉동 도꼬돈카츠,사누끼우동,"7,000원"
1041,정릉동 도꼬돈카츠,카츠카레,"9,500원"
1042,정릉동 도꼬돈카츠,얼큰돈카츠,"9,000원"
1043,정릉동 도꼬돈카츠,철판치즈돈가츠,"14,000원"
1044,정릉동 도이칠란드 박,잠봉뵈르 샌드위치,"10,900원"
1045,정릉동 도이칠란드 박,킬바사소세지플래터,"14,900원"
1046,정릉동 도이칠란드 박,잠봉프로마쥬 샌드위치,"10,900원"
1047,정릉동 도이칠란드 박,살라미 샌드위치,"11,900원"
1048,정릉동 돈파렐라,순등심돈까스(국내산),"7,000원"
1049,정릉동 돈파렐라,생선까스,"7,500원"
1050,정릉동 돈파렐라,치킨까스(국내산),"7,500원"
1051,정릉동 돈파렐라,함박스테이크,"8,500원"
1052,정릉동 돈파렐라,왕돈까스,"8,000원"
1053,정릉동 돈파렐라,고구마돈까스(국내산),"8,000원"
1054,정릉동 돈파렐라,치즈돈까스(국내산),"8,000원"
1055,정릉동 돈파렐라,피자돈까스(국내산),"8,000원"
1056,정릉동 돈파렐라,모듬까스A,"9,000원"
1057,정릉동 돈파렐라,모듬까스B,"9,000원"
1058,정릉동 돈파렐라,모듬까스C,"9,500원"
1059,정릉동 돈파렐라,모듬까스D,"9,000원"
1060,정릉동 돈파렐라,고구마 치즈 돈까스(국내산),"8,500원"
1061,정릉동 돈파렐라,파닭까스(국내산),"8,500원"
1062,정릉동 돈파렐라,베이컨김치볶음밥+치즈돈까스셋,"9,500원"
1063,정릉동 동네사람,1인물회,"20,000원"
1064,정릉동 동네사람,쭈꾸미숙회(국내산),"40,000원"
1065,정릉동 동네사람,해물 스페셜(해산물+회모듬)(중),"40,000원"
1066,정릉동 동네사람,해물 스페셜(해산물+회모듬)(대),"60,000원"
1067,정릉동 동네사람,계절모듬사시미(4종계절회)(대),"100,000원"
1068,정릉동 동네사람,[ 야외에서 먹기좋은 ] 컵물회(리터컵),"10,000원"
1069,정릉동 동네사람,1인물회,"20,000원"
1070,정릉동 동네사람,모듬물회(해산물2가지+회사시미),"35,000원"
1071,정릉동 동네사람,계절모듬사시미(4종계절회)(대),"100,000원"
1072,정릉동 동네사람,계절모듬사시미(4종계절회)(중),"80,000원"
1073,정릉동 동네사람,계절모듬사시미(4종계절회)(소),"60,000원"
1074,정릉동 동네사람,3종사시미(중),"50,000원"
1075,정릉동 동네사람,3종사시미(소),"38,000원"
1076,정릉동 동네사람,참치반 광어반,"57,000원"
1077,정릉동 동네사람,참치반 연어반,"57,000원"
1078,정릉동 동네사람,참치반 우럭반,"60,000원"
1079,정릉동 동네사람,해물 스페셜(해산물+회모듬)(중),"40,000원"
1080,정릉동 동네사람,해물 스페셜(해산물+회모듬)(대),"60,000원"
1081,정릉동 동네사람,산낙지,"22,000원"
1082,정릉동 동네사람,문어숙회(돌문어)1마리 생물만 사용합니다,"50,000원"
1083,정릉동 동네사람,해삼/개불/멍게(택2),"35,000원"
1084,정릉동 동네사람,1인떡볶이&주먹밥,"12,000원"
1085,정릉동 동네사람,해물떡볶이,"20,000원"
1086,정릉동 동네사람,차돌떡볶이,"22,000원"
1087,정릉동 동네사람,로제차돌떡볶이,"23,000원"
1088,정릉동 동네사람,바지락술찜,"18,000원"
1089,정릉동 동네사람,새우튀김,"19,000원"
1090,정릉동 동네사람,오징어튀김,"19,000원"
1091,정릉동 동네사람,오징어튀김과새우튀김,"30,000원"
1092,정릉동 동네사람,붕장어튀김+야채초무침,"22,000원"
1093,정릉동 동네사람,치킨가라아게,"18,000원"
1094,정릉동 동네사람,육회와 연어와 광어,"48,000원"
1095,정릉동 동네사람,연어와 육회,"35,000원"
1096,정릉동 동네사람,육회,"25,000원"
1097,정릉동 동네사람,육사시미,"25,000원"
1098,정릉동 동네사람,낙지탕탕이,"35,000원"
1099,정릉동 동네사람,고등어구이,"12,000원"
1100,정릉동 동네사람,삼치구이,"20,000원"
1101,정릉동 동네사람,왕새우구이,"18,000원"
1102,정릉동 동네사람,생우럭구이,"35,000원"
1103,정릉동 동네사람,새우버터구이,"18,000원"
1104,정릉동 동네사람,참소라무침,"25,000원"
1105,정릉동 동네사람,제철회무침,"25,000원"
1106,정릉동 동네사람,문어무침,"28,000원"
1107,정릉동 동네사람,꼬막무침/데침,"20,000원"
1108,정릉동 동네사람,알탕,"25,000원"
1109,정릉동 동네사람,모듬조개탕,"30,000원"
1110,정릉동 동네사람,해물누룽지탕,"25,000원"
1111,정릉동 동네사람,차돌짬뽕탕,"25,000원"
1112,정릉동 동네사람,해물탕,"30,000원"
1113,정릉동 동네사람,차돌볶음밥,"8,000원"
1114,정릉동 동네사람,멍게비빔밥,"9,000원"
1115,정릉동 동네사람,회덮밥,"9,000원"
1116,정릉동 동네사람,육회비빔밥,"10,000원"
1117,정릉동 동네사람,꼬막비빔밥,"11,000원"
1118,정릉동 동네사람,공깃밥,"1,000원"
1119,정릉동 동네사람,주먹밥,"3,000원"
1120,정릉동 동네사람,참치마요밥,"5,000원"
1121,정릉동 동네사람,지라시밥,"2,000원"
1122,정릉동 동네사람,라면사리,"2,000원"
1123,정릉동 동네사람,콜라,"2,500원"
1124,정릉동 동네사람,사이다,"2,500원"
1125,정릉동 동네사람,코카콜라(제로),"2,500원"
1126,정릉동 동대문엽기떡볶이 정릉점,마라떡볶이,"16,000원"
1127,정릉동 동대문엽기떡볶이 정릉점,엽기메뉴,"14,000원"
1128,정릉동 동대문엽기떡볶이 정릉점,로제메뉴,"16,000원"
1129,정릉동 동대문엽기떡볶이 정릉점,마라로제떡볶이,"18,000원"
1130,정릉동 동대문엽기떡볶이 정릉점,실속세트,"17,500원"
1131,정릉동 동대문엽기떡볶이 정릉점,실속세트,"17,500원"
1132,정릉동 동대문엽기떡볶이 정릉점,베스트세트,"20,000원"
1133,정릉동 동대문엽기떡볶이 정릉점,스페셜세트,"25,000원"
1134,정릉동 동대문엽기떡볶이 정릉점,닭발세트,"17,500원"
1135,정릉동 동대문엽기떡볶이 정릉점,엽기메뉴,"14,000원"
1136,정릉동 동대문엽기떡볶이 정릉점,로제메뉴,"16,000원"
1137,정릉동 동대문엽기떡볶이 정릉점,마라떡볶이,"16,000원"
1138,정릉동 동대문엽기떡볶이 정릉점,마라로제떡볶이,"18,000원"
1139,정릉동 동대문엽기떡볶이 정릉점,엽기닭볶음탕,"24,000원"
1140,정릉동 동대문엽기떡볶이 정릉점,엽기무뼈닭발,"15,000원"
1141,정릉동 동대문엽기떡볶이 정릉점,엽기국물닭발,"15,000원"
1142,정릉동 동대문엽기떡볶이 정릉점,엽기오돌뼈,"14,000원"
1143,정릉동 동대문엽기떡볶이 정릉점,감자채튀김,"2,500원"
1144,정릉동 동대문엽기떡볶이 정릉점,엽기시즈닝(버터갈릭맛),300원
1145,정릉동 동대문엽기떡볶이 정릉점,엽기오돌뼈밥,"4,500원"
1146,정릉동 동대문엽기떡볶이 정릉점,참치마요밥,"3,500원"
1147,정릉동 동대문엽기떡볶이 정릉점,주먹김밥(셀프),"2,000원"
1148,정릉동 동대문엽기떡볶이 정릉점,음료(유산균) 450ml,"1,000원"
1149,정릉동 동방손칼국수,닭볶음탕 中,"29,000원"
1150,정릉동 동방손칼국수,묵은지김치찜 中,"31,000원"
1151,정릉동 동방손칼국수,묵은지닭볶음탕 中,"31,000원"
1152,정릉동 동방손칼국수,바지락칼국수,"9,000원"
1153,정릉동 동방손칼국수,얼큰수제비,"9,000원"
1154,정릉동 동방손칼국수,바지락수제비,"9,000원"
1155,정릉동 동방손칼국수,만두국,"9,000원"
1156,정릉동 동방손칼국수,떡만두국,"9,000원"
1157,정릉동 동방손칼국수,찐만두,"7,000원"
1158,정릉동 동방손칼국수,부추비빔밥,"8,000원"
1159,정릉동 동방손칼국수,해물파전,"17,000원"
1160,정릉동 동방손칼국수,김치전,"8,000원"
1161,정릉동 동방손칼국수,바지락칼제비,"9,000원"
1162,정릉동 동방손칼국수,닭볶음탕 대,"39,000원"
1163,정릉동 동방손칼국수,묵은지김치찜 대,"41,000원"
1164,정릉동 동우식당,설렁탕,"11,000원"
1165,정릉동 동우식당,접시수육,"16,000원"
1166,정릉동 동우식당,수육 - 대,"45,000원"
1167,정릉동 동우식당,수육 - 소,"35,000원"
1168,정릉동 동키타코스,타코.부리또.퀘사디아.프라이즈,"9,000원"
1169,정릉동 돼지잡고돈잡고,메뉴 정보 없음,
1170,정릉동 두레통닭(정릉점),두레엣날통닭 한마리,"8,000원"
1171,정릉동 두레통닭(정릉점),두레엣날통닭 두마리,"15,000원"
1172,정릉동 두레통닭(정릉점),마간장통닭,"10,000원"
1173,정릉동 두레통닭(정릉점),깐풍통닭,"10,000원"
1174,정릉동 두레통닭(정릉점),양념통닭,"10,000원"
1175,정릉동 두리만횟집,광어회 특대,"70,000원"
1176,정릉동 두리만횟집,광어회 大,"40,000원"
1177,정릉동 두리만횟집,광어회 중자,"30,000원"
1178,정릉동 두리만횟집,대방어회,
1179,정릉동 두리만횟집,광어+우럭,"50,000원"
1180,정릉동 두리만횟집,도미회,"60,000원"
1181,정릉동 두리만횟집,활우럭 매운탕,"30,000원"
1182,정릉동 두번째이야기,메뉴 정보 없음,
1183,정릉동 딱한잔만,메뉴 정보 없음,
1184,정릉동 떼돈,양념갈비살 180g,"19,000원"
1185,정릉동 떼돈,생삼겹살180g,"16,000원"
1186,정릉동 떼돈,갈매기살180g,"17,000원"
1187,정릉동 떼돈,갈비살 180g,"19,000원"
1188,정릉동 떼돈,참나무초벌막창 150g,"10,000원"
1189,정릉동 떼돈,한우차돌박이180g,"25,000원"
1190,정릉동 떼돈,생목살180g,"16,000원"
1191,정릉동 떼돈,가브리살180g,"17,000원"
1192,정릉동 떼돈,항정살180g,"19,000원"
1193,정릉동 떼돈,한돈모듬600g,"47,000원"
1194,정릉동 떼돈,벌집껍데기한장,"6,000원"
1195,정릉동 또 봄,메뉴 정보 없음,
1196,정릉동 뚱땡이왕족발,참숯직화불족발,"30,000원"
1197,정릉동 뚱땡이왕족발,반반족발,"32,000원"
1198,정릉동 뚱땡이왕족발,족발뒷다리(소),"22,000원"
1199,정릉동 뚱땡이왕족발,족발뒷다리(중),"27,000원"
1200,정릉동 뚱땡이왕족발,족발앞다리(대),"30,000원"
1201,정릉동 뚱땡이왕족발,족발앞다리(특대),"35,000원"
1202,정릉동 뚱땡이왕족발,미니족발(1인분),"10,000원"
1203,정릉동 뚱땡이왕족발,미니직화불족발,"13,000원"
1204,정릉동 뚱땡이왕족발,냉채족발(중),"30,000원"
1205,정릉동 뚱땡이왕족발,냉채족발(대),"35,000원"
1206,정릉동 라라김밥,매운 어묵 김밥,"5,300원"
1207,정릉동 라라김밥,야채김밥,"4,300원"
1208,정릉동 라라김밥,치즈김밥,"5,300원"
1209,정릉동 라라김밥,참치김밥,"5,300원"
1210,정릉동 라라김밥,통 소세지 김밥,"6,300원"
1211,정릉동 라라김밥,돈까스 김밥,"5,300원"
1212,정릉동 라라김밥,떡볶이,"5,500원"
1213,정릉동 라라김밥,코카콜라 245ml,"1,500원"
1214,정릉동 라라김밥,스프라이트 245ml,"1,500원"
1215,정릉동 라라김밥,제로 코카콜라 245ml,"1,500원"
1216,정릉동 라무야끼 정릉점,양 티본 스테이크 무한,"35,000원"
1217,정릉동 라무야끼 정릉점,양갈비 스테이크 무한,"32,000원"
1218,정릉동 라무야끼 정릉점,프리미엄 프렌치랙(안심) 약 180g,"29,000원"
1219,정릉동 라이완,탕수육(소),"19,000원"
1220,정릉동 라이완,해물볶음짜장,"9,000원"
1221,정릉동 라이완,탕수육(중),"27,000원"
1222,정릉동 라이완,고기짬뽕,"11,000원"
1223,정릉동 라이완,짜장,"7,000원"
1224,정릉동 라이완,양장피,"30,000원"
1225,정릉동 라이완,칠리새우,"26,000원"
1226,정릉동 라이완,깐풍기,"26,000원"
1227,정릉동 라이완,라이완식 마라탕면,"9,000원"
1228,정릉동 란,메뉴 정보 없음,
1229,정릉동 레스고Kpub,메뉴 정보 없음,
1230,정릉동 로라유통,메뉴 정보 없음,
1231,정릉동 록녹,마른안주 플래터,"9,000원"
1232,정릉동 록녹,살라미 치즈 플래터,"9,000원"
1233,정릉동 록녹,애플피넛샤워,"7,000원"
1234,정릉동 록녹,라따뚜이,"13,000원"
1235,정릉동 록녹,칠리 프라이즈,"14,000원"
1236,정릉동 록녹,육포,"14,000원"
1237,정릉동 록녹,맥주,
1238,정릉동 록녹,와인,
1239,정릉동 록녹,위스키,
1240,정릉동 마마우동,돈까스김밥,"4,500원"
1241,정릉동 마마우동,김치김밥,
1242,정릉동 마마우동,치즈김밥,"4,000원"
