학교종류명,설립구분,표준학교코드,학교명,영문학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,팩스번호,남녀공학구분명,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,시도교육청코드,시도교육청명,소재지명,적재일시
중학교,사립,7121358,고려대학교사범대학부속중학교,Korea University Middle School,서울특별시성북강북교육지원청,02708,서울특별시 성북구 정릉로 161,(정릉동/고려대학교사범대학부속중학교),02-914-8853,http://www.koryo.ms.kr,02-942-5626,남여공학,,N,일반계,,전기,주간,19680311,19680311,B10,서울특별시교육청,서울특별시,20230615
중학교,공립,7121345,북악중학교,Bugak Middle School,서울특별시성북강북교육지원청,02812,서울특별시 성북구 정릉로12길 41,(정릉동/북악중학교),02-910-2311,http://www.bugak.ms.kr,02-919-5097,남여공학,,N,일반계,,전기,주간,19840110,19840427,B10,서울특별시교육청,서울특별시,20230615
