학교종류명,설립구분,표준학교코드,학교명,영문학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,팩스번호,남녀공학구분명,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,시도교육청코드,시도교육청명,소재지명,적재일시
고등학교,사립,7010797,고려대학교사범대학부속고등학교,Korea University High School,서울특별시교육청,02708,서울특별시 성북구 정릉로 161,/ 고려대학교사범대학부속고등학교 (정릉동),02-914-7483,https://koreahi.sen.hs.kr,02-942-0732,남,일반고,N,일반계,,후기,주간,19680311,19680311,B10,서울특별시교육청,서울특별시,20230615
고등학교,사립,7010145,대일외국어고등학교,Daeil Foreign Language High School,서울특별시교육청,02713,서울특별시 성북구 서경로 116,(정릉동/대일외국어고등학교),02-940-1000,www.daeil.or.kr,02-940-0605,남여공학,특목고,N,일반계,외국어계열,전기,주간,19840304,19840924,B10,서울특별시교육청,서울특별시,20230615
