학교종류명,설립구분,표준학교코드,학교명,영문학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,팩스번호,남녀공학구분명,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,시도교육청코드,시도교육청명,소재지명,적재일시
초등학교,공립,7121333,서울청덕초등학교,Seoul Cheongdeok Elementary School,서울특별시성북강북교육지원청,02706,서울특별시 성북구 정릉로9라길 11,(정릉동/서울청덕초등학교),02-914-8740,http://www.cheongdeok.es.kr,02-914-8557,남여공학,,N,일반계,,전기,주간,19670910,19671130,B10,서울특별시교육청,서울특별시,20230615
초등학교,공립,7121332,서울정수초등학교,Seoul Jungsu Elementary School,서울특별시성북강북교육지원청,02813,서울특별시 성북구 정릉로24길 58,(정릉동/서울정수초등학교),02-916-0051,http://www.jungsu.es.kr,02-942-5030,남여공학,,N,일반계,,전기,주간,19860406,19860406,B10,서울특별시교육청,서울특별시,20230615
초등학교,공립,7121331,서울정릉초등학교,Seoul Jeongneung Elementary School,서울특별시성북강북교육지원청,02701,서울특별시 성북구 솔샘로25가길 8,(정릉동/서울정릉초등학교),02-916-2590,http://jeongneung.sen.es.kr,02-942-7534,남여공학,,N,일반계,,전기,주간,19850710,19851025,B10,서울특별시교육청,서울특별시,20230615
초등학교,공립,7121317,서울숭덕초등학교,Seoul Soongduck Elementary School,서울특별시성북강북교육지원청,02718,서울특별시 성북구 정릉로 279,(정릉동/서울숭덕초등학교),02-911-1761,www.soongduck.es.kr,02-911-1251,남여공학,,N,일반계,,전기,주간,19450514,19450514,B10,서울특별시교육청,서울특별시,20230615
