사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
북악골프연습장,영업/정상,,919-4040,서울특별시 성북구 정릉동 산 87-1번지 ,1998-03-12,,2018-08-31 23:59:59.0,Y
에이스골프연습장,영업/정상,,941-0607,서울특별시 성북구 정릉동 1020번지 우성쇼핑상가 A동 2층 ,2002-08-08,,2018-08-31 23:59:59.0,Y
블루스카이 골프연습장,영업/정상,,911-4259,서울특별시 성북구 정릉동 465-1번지 6층 ,2003-10-22,,2018-08-31 23:59:59.0,Y
in골프연습장,영업/정상,,917-5285,서울특별시 성북구 정릉동 1020 정릉우성스카이상가 ,2004-01-16,,2020-08-29 02:40:00.0,Y
(주) 정릉골프클럽,영업/정상,,914-7744,서울특별시 성북구 정릉동 380-1 ,2005-03-21,,2023-10-21 02:40:00.0,Y
모아방골프클리닉,영업/정상,,915-7334,서울특별시 성북구 정릉동 675-1번지 모아방빌딩 7층 ,2008-10-24,,2018-08-31 23:59:59.0,Y
라온골프스쿨,영업/정상,,,서울특별시 성북구 정릉동 1034 길음뉴타운10단지 ,2009-05-20,,2021-09-19 02:40:00.0,Y
(주)에스케이스포렉스,영업/정상,,02-919-4441,서울특별시 성북구 정릉동 산 16-1번지 M동 지하 3층 ,2011-01-27,,2018-08-31 23:59:59.0,Y
정릉스크린골프,영업/정상,,02-911-0775,서울특별시 성북구 정릉동 380-1번지 ,2017-02-09,,2018-08-31 23:59:59.0,Y
