사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
다정,영업/정상,여관업,02 9110674,서울특별시 성북구 정릉동 16-454 ,1965-06-18,,2024-09-08 02:40:00.0,Y
더블유 미니호텔,영업/정상,여관업,02  912 8881,서울특별시 성북구 정릉동 16-18 ,1967-12-30,,2022-11-18 02:40:00.0,Y
파크장,영업/정상,여관업,0209185790,서울특별시 성북구 정릉동 771-26 ,1969-09-25,,2024-11-07 02:40:00.0,Y
프라다,영업/정상,여관업,02  943 1866,서울특별시 성북구 정릉동 824-17 ,1971-07-19,,2023-09-21 02:40:00.0,Y
웨이브,영업/정상,여관업,9157938,서울특별시 성북구 정릉동 408-11 ,2002-09-18,,2024-08-09 02:40:00.0,Y
이달의 스테이,영업/정상,여관업,02 9143614,서울특별시 성북구 정릉동 416-10,2003-01-08,,2024-12-03 22:04:00.0,Y
