사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
정릉대중탕,영업/정상,공동탕업,02 9142045,서울특별시 성북구 정릉동 465-1번지 ,1994-12-23,,2018-08-31 23:59:59.0,Y
서림탕,영업/정상,공동탕업,02 9143852,서울특별시 성북구 정릉동 771-26 ,1969-09-25,,2024-04-28 02:40:00.0,Y
청수목욕탕,영업/정상,공동탕업,02 9171288,서울특별시 성북구 정릉동 786-9 ,2002-12-23,,2022-09-01 02:40:00.0,Y
성신사우나,영업/정상,공동탕업,02 9178800,서울특별시 성북구 정릉동 373-4번지 성신프라자 ,2002-12-06,,2019-08-31 02:40:00.0,Y
태영사우나 한증막,영업/정상,공동탕업+찜질시설서비스영업,02  22157557,"서울특별시 성북구 정릉동 1018 태영(아)1단지 상가동 지하1,2층 ",2002-11-04,,2024-08-24 02:40:00.0,Y
