사업장명,영업상태,업태,전화번호,주소,인허가일자,폐업일자,최종수정일,크롤링여부
태아건설,영업/정상,건물위생관리업,,서울특별시 성북구 정릉동 1014 쌍용아파트 105(상가)동 201호,2006-03-15,,2018-08-31 23:59:59.0,Y
(주)상승피에프,영업/정상,건물위생관리업,02  943 0734,서울특별시 성북구 정릉동 517-2 ,2012-07-10,,2018-08-31 23:59:59.0,Y
대성기업,영업/정상,건물위생관리업,02 5636192,서울특별시 성북구 정릉동 175-14 ,2016-02-23,,2018-08-31 23:59:59.0,Y
(주)한마음21,영업/정상,건물위생관리업,,서울특별시 성북구 정릉동 16-19 ,2021-12-21,,2023-09-21 02:40:00.0,Y
맑은나래,영업/정상,건물위생관리업,,서울특별시 성북구 정릉동 16-14 1층 ,2022-01-14,,2022-01-16 00:22:49.0,Y
윈시스템,영업/정상,건물위생관리업,,서울특별시 성북구 정릉동 16-118 ,2023-08-21,,2023-08-23 00:18:32.0,Y
에어몬,영업/정상,건물위생관리업,02  941 2763,서울특별시 성북구 정릉동 227-38 ,2024-02-07,,2024-02-09 00:16:17.0,Y
